synonyms,species,dataset
Brachyrampus_marmoratus,Brachyramphus_marmoratus,itis1
Columba_leucocephala,Patagioenas_leucocephala,itis1
Columba_squamosa,Patagioenas_squamosa,itis1
Columba_fasciata,Patagioenas_fasciata,itis1
Columba_flavirostris,Patagioenas_flavirostris,itis1
Columba_araucana,Patagioenas_araucana,itis1
Columba_arguatrix,Columba_arquatrix,itis1
Columba_caribaea,Patagioenas_caribaea,itis1
Columba_cayennensis,Patagioenas_cayennensis,itis1
Columba_chiriquensis,Patagioenas_nigrirostris,itis1
Columba_corensis,Patagioenas_corensis,itis1
Columba_elphinstoni,Columba_elphinstonii,itis1
Columba_goodsoni,Patagioenas_goodsoni,itis1
Columba_hodgsoni,Columba_hodgsonii,itis1
Columba_inornata,Patagioenas_inornata,itis1
Columba_maculosa,Patagioenas_maculosa,itis1
Columba_mayeri,Streptopelia_mayeri,itis1
Columba_nigrirostris,Patagioenas_nigrirostris,itis1
Columba_oenops,Patagioenas_oenops,itis1
Columba_olivae,Columba_oliviae,itis1
Columba_picazuro,Patagioenas_picazuro,itis1
Columba_plumbea,Patagioenas_plumbea,itis1
Columba_polleni,Columba_pollenii,itis1
Columba_speciosa,Patagioenas_speciosa,itis1
Columba_subvinacea,Patagioenas_subvinacea,itis1
Columba_torringtoni,Columba_torringtonii,itis1
Scardafella_inca,Columbina_inca,itis1
Aplopelia_larvata,Columba_larvata,itis1
Reinwardtoena_reinwardtsi,Reinwardtoena_reinwardtii,itis1
Petrophassa_plumifera,Geophaps_plumifera,itis1
Petrophassa_scripta,Geophaps_scripta,itis1
Petrophassa_smithii,Geophaps_smithii,itis1
Phapitreron_amethystina,Phapitreron_amethystinus,itis1
Treron_bicincta,Treron_bicinctus,itis1
Treron_griseicauda,Treron_griseicauda,itis1
Treron_oxyura,Treron_oxyurus,itis1
Treron_phoenicoptera,Treron_phoenicopterus,itis1
Treron_psittacea,Treron_psittaceus,itis1
Treron_sphenura,Treron_sphenurus,itis1
Ptilinopus_formosus,Ptilinopus_bernsteinii,itis1
Ptilinopus_hyogastra,Ptilinopus_hyogastrus,itis1
Ptilinopus_melanospila,Ptilinopus_melanospilus,itis1
Ptilinopus_naina,Ptilinopus_nainus,itis1
Chalcopsitta_scintillata,Chalcopsitta_sintillata,itis1
Eos_historio,Eos_histrio,itis1
Eos_reticulara,Eos_reticulata,itis1
Pseudeos_fusata,Pseudeos_fuscata,itis1
Trichoglossus_goldiei,Psitteuteles_goldiei,itis1
Trichoglossus_iris,Psitteuteles_iris,itis1
Trichoglossus_johnstoni,Trichoglossus_johnstoniae,itis1
Trichoglossus_orantus,Trichoglossus_ornatus,itis1
Trichoglossus_versicolor,Psitteuteles_versicolor,itis1
Lorius_chlorocerus,Lorius_chlorocercus,itis1
Lorius_domicellus,Lorius_domicella,itis1
Vini_kuklii,Vini_kuhlii,itis1
Vini_stephani,Vini_stepheni,itis1
Glossopsitta_amabilis,Charmosyna_aureicincta,itis1
Glossopsitta_diadema,Charmosyna_diadema,itis1
Glossopsitta_josefinae,Charmosyna_josefinae,itis1
Glossopsitta_margarethae,Charmosyna_margarethae,itis1
Glossopsitta_meeki,Charmosyna_meeki,itis1
Glossopsitta_multistriata,Charmosyna_multistriata,itis1
Glossopsitta_palmarum,Charmosyna_palmarum,itis1
Glossopsitta_papou,Charmosyna_papou,itis1
Glossopsitta_placentis,Charmosyna_placentis,itis1
Glossopsitta_pulchella,Charmosyna_pulchella,itis1
Glossopsitta_rubrigularis,Charmosyna_rubrigularis,itis1
Glossopsitta_rubronotata,Charmosyna_rubronotata,itis1
Glossopsitta_toxopei,Charmosyna_toxopei,itis1
Glossopsitta_wilhelminae,Charmosyna_wilhelminae,itis1
Probosciger_aterrinus,Probosciger_aterrimus,itis1
